# Tiempo Datos
0.000000000000000000e+00 9.500884175255893682e-01
4.444444444444444657e-05 -1.508350067517690019e-01
8.888888888888889315e-05 -1.021744544992923415e-01
1.333333333333333397e-04 4.121650833858632734e-01
1.777777777777777863e-04 1.461323193691110855e-01
2.222222222222222329e-04 1.456884398742315012e+00
2.666666666666666794e-04 7.641707315109462773e-01
3.111111111111111260e-04 1.253301026584084932e-01
3.555555555555555726e-04 4.480403581335958285e-01
4.000000000000000192e-04 3.383734456104519062e-01
4.444444444444444657e-04 1.499300132072279856e+00
4.888888888888889665e-04 -1.994153221364557971e-01
5.333333333333333589e-04 3.193324622375432464e-01
5.777777777777777513e-04 -8.473092293079113047e-01
6.222222222222222520e-04 -2.545681631775089215e+00
6.666666666666667528e-04 6.614483724316136959e-01
7.111111111111111452e-04 8.727874818602193718e-01
7.555555555555555376e-04 -7.332923241078610488e-01
8.000000000000000383e-04 2.279148635084845331e+00
8.444444444444445391e-04 -1.444450452988451872e+00
8.888888888888889315e-04 5.619483935420161586e-02
9.333333333333333239e-04 -1.762265433849267149e-01
9.777777777777779331e-04 1.544257383951031848e+00
1.022222222222222325e-03 1.481357675027389353e+00
1.066666666666666718e-03 1.674669331623714619e-01
1.111111111111111110e-03 3.912024904324443719e-01
1.155555555555555503e-03 -8.742254581841596428e-01
1.200000000000000112e-03 -1.966716010685191529e+00
1.244444444444444504e-03 -3.333116799893974247e-01
1.288888888888888896e-03 1.714692881741073371e-01
1.333333333333333506e-03 1.245930681698737441e+00
1.377777777777777898e-03 1.218539358058122746e+00
1.422222222222222290e-03 -3.706479791932564272e-01
1.466666666666666683e-03 -2.851047685426132405e-01
1.511111111111111075e-03 -1.030836030098207123e+00
1.555555555555555684e-03 -1.401782245912281066e+00
1.600000000000000077e-03 -1.687515945452868538e+00
1.644444444444444469e-03 1.970047986165580411e+00
1.688888888888889078e-03 -4.898614589488309856e-01
1.733333333333333471e-03 -4.177656665780543066e-01
1.777777777777777863e-03 -1.231969038168535979e+00
1.822222222222222255e-03 7.988341334390274273e-01
1.866666666666666648e-03 -1.592036851085194549e+00
1.911111111111111257e-03 -1.903623074702216200e-01
1.955555555555555866e-03 -8.725718605050822863e-01
2.000000000000000042e-03 4.103136724382029921e-01
2.044444444444444651e-03 -4.868777488792258024e-01
2.088888888888888826e-03 -1.156188846823558825e+00
2.133333333333333436e-03 -3.223213650597519381e-03
2.177777777777778045e-03 4.538062856726030048e-01
2.222222222222222220e-03 9.250675533283220231e-02
2.266666666666666829e-03 3.289762601422749899e-01
2.311111111111111005e-03 -6.073031958846463185e-01
2.355555555555555614e-03 -3.352080325566423880e-01
2.400000000000000223e-03 -6.444133841677732732e-01
2.444444444444444399e-03 -3.309924789041691628e-01
2.488888888888889008e-03 -7.840722972184346329e-01
2.533333333333333617e-03 -1.696695637839612969e+00
2.577777777777777793e-03 2.075257582072773110e-01
2.622222222222222402e-03 -3.711690026746948812e-01
2.666666666666667011e-03 -1.599074435406469208e+00
2.711111111111111187e-03 4.944177998889968118e-01
2.755555555555555796e-03 -8.751515381026990781e-01
2.799999999999999972e-03 8.460314744814165233e-02
2.844444444444444581e-03 7.622588770001078595e-01
2.888888888888889190e-03 1.626614208992023802e-01
2.933333333333333365e-03 1.173589016507154748e+00
2.977777777777777975e-03 -1.200128045705988633e+00
3.022222222222222150e-03 4.375484737344630393e-01
3.066666666666666759e-03 -6.490945908801575293e-01
3.111111111111111369e-03 -8.345733776510128044e-01
3.155555555555555544e-03 -5.421180234168819778e-01
3.200000000000000153e-03 -2.743134282336733842e-01
3.244444444444444763e-03 9.391149578780227936e-02
3.288888888888888938e-03 -1.126897056048848489e+00
3.333333333333333547e-03 9.395854787764228444e-01
3.377777777777778156e-03 5.049272089562352184e-01
3.422222222222222332e-03 -1.496473574922139838e+00
3.466666666666666941e-03 1.528527206421209872e+00
3.511111111111111117e-03 1.936668643488948849e+00
3.555555555555555726e-03 1.220063041439644058e+00
3.600000000000000335e-03 -1.381378202895124918e-01
3.644444444444444511e-03 -1.028462523885524948e+00
3.688888888888889120e-03 1.097244437961625296e+00
3.733333333333333295e-03 -3.598820967840593021e-01
3.777777777777777905e-03 1.266241579939189510e+00
3.822222222222222514e-03 2.525726616721728490e-01
3.866666666666666689e-03 1.021437403256502341e+00
3.911111111111111732e-03 4.016649507378011741e-01
3.955555555555555908e-03 7.523714066395530420e-01
4.000000000000000083e-03 5.679743663301636825e-02
4.044444444444444259e-03 1.832666574356192291e+00
4.088888888888889302e-03 1.742063192653572901e-01
4.133333333333333477e-03 4.497812121972195598e-01
4.177777777777777653e-03 1.931439638591735841e+00
